Book,Chapter,Verse,Text
Romans,1,1,保羅（主格名詞應放在句首），基督耶穌的僕人，蒙召的一位使徒，為了     神的福音已被分別出來。
Romans,1,2,這是祂自己從前藉著祂那些先知們在聖經裡預先所應許了的，
Romans,1,3,有關祂的兒子：按肉身論，已成為了（指基督先存性神子之「出生」的用字）那出於大衛之一位後裔的；
Romans,1,4,依聖潔的靈說，因從眾死人中的復活，已被立為了在大能中、那位　神的兒子，
Romans,1,5,藉著他，我們領受了恩惠和使徒的職分，為了他那名字，在所有外族中，使人因信而順服，
Romans,1,6,當中也包括你們蒙   神呼召歸屬於耶穌基督的，
Romans,1,7,我保羅寫信給這些在羅馬蒙   神所愛，蒙召的眾聖徒，願恩惠平安從我們的父   神和主耶穌基督臨到你們！
Romans,1,8,最重要的，我藉著耶穌基督，為你們所有人持續感謝我的   神，因你們的信心在全世界裡面不斷被廣傳。
Romans,1,9,因為我的見證者正是    神，就是我在傳揚祂兒子的福音上，用我的靈所事奉的那一位，我自己正是如何恆常有規律地（非指「繼續不斷地」）提到你們，
Romans,1,10,在禱告的時候，我總是不住地提到你們，也許照   神的旨意，現在最終將必蒙成功去前往到你們那裡。
Romans,1,11,因為我持續渴望要見到你們，為的是讓我可以把一些屬靈的恩賜分給你們，好使你們被堅固起來；
Romans,1,12,這樣，我在你們中間，藉著你們連同我彼此共有的信心，我們就正是可以一同被鼓勵了。
Romans,1,13,弟兄們啊！如今，我正不願意你們不能知道，我自己屢次定了意要往你們那裡去，為的是讓我在你們中間也結出一些果子，如同也在其餘的外族人中一樣；然而，直到現在我卻仍被攔阻了。
Romans,1,14,我正是一個欠債的人（主格名詞應放在句首），無論對希臘人抑或未開化的人，不論對有學識的還是沒知識的也是，
Romans,1,15,所以，我的切願是我自己也可以傳達福音給你們羅馬人。
Romans,1,16,因為我一直不以福音為恥；因為這福音是   神的大能，為使每一個那持續相信的人進入救恩（得救包括正負面的「不滅亡」和「進入天國」），先是對猶太人，也是對希臘人。
Romans,1,17,因為   神的義在福音裡面持續被啟示；源自於信（指惟有信心能使人領受神之義的賜予）而歸於信（指任何一個信徒都是這義的受惠者）。如已被寫下的：『因信稱義的將來必會得生。（哈2:4下）』
Romans,1,18,因為   神的憤怒從天上正在被顯明在每一個不敬不義的人身上，就是那些在不義中經常想要壓制（原文「意圖現在式」的意思）真理的人。
Romans,1,19,因為   神的事情能被人知道的，正是明顯的在人心裡，因為     神曾向他們顯明出來。
Romans,1,20,因為從世界之創立以來，    神那看不見的特性，就是祂那永恆的大能和    神性，持續被人洞悉，藉著那些創造物被人領悟，以致他們正是毫無藉口推搪。
Romans,1,21,因為，他們雖然之前已經知道　神，他們卻未曾以祂為　  神榮耀祂，或未曾感謝祂。反而，他們那些所思所想的被變為虛妄了，而且他們愚昧無知的心也被變為昏暗了。
Romans,1,22,雖然他們自稱有智慧，其實他們卻被變成了愚拙，
Romans,1,23,而且，他們用必朽壞的人和飛禽與走獸以及爬蟲等形狀的像，取代了那永不朽壞之   神的榮耀。
Romans,1,24,"所以，    神把他們交付給（#原文與v.26, 28同字）他們心裡那些情慾予不潔來，去彼此羞辱自己的身體。"
Romans,1,25,他們以虛謊取代了   神的真理，而且他們敬奉了受造物，反而卻把非創造主，祂正是當受稱頌的，直到永遠，阿們！
Romans,1,26,"為了這個緣故，   神就已把他們交付出來（#原文與v.24, 28同字）予可恥的情慾，因為不但他們那些女性以違反自然的性關係，取代了自然的性關係。"
Romans,1,27,同樣地，那些男人也是，放棄了與女人自然的性關係，以致他們彼此慾火中燒，男人在男人中正在作出可恥的事，他們也就在自己裡面正在承受這胡作妄為所必受的報應。
Romans,1,28,"因為他們既然已決定不承認    神，   神就把他們交付出來（#原文與v.24, 26同字）給敗壞的心，去作那些不該作的事；"
Romans,1,29,被充滿著所有不義、邪惡、貪婪、陰險，充滿的嫉妒、兇殺、鬥爭、欺詐、狡詐、讒毀者，
Romans,1,30,毀謗的、憎恨　神的、侮辱人的、高傲的、矜誇的、製造惡事的、忤逆父母的、
Romans,1,31,愚昧無知的、不守信用的、無親情的、不憐憫人的。
Romans,1,32,他們雖然之前明確知道   神的命令：「行這樣事的正是該死的」，但是他們不單自己正在作這些事，甚至還正在贊同作這些事的。
Romans,2,1,噢！所以！你這每一個判斷人的啊！你是沒有藉口推卸責任，因為你在甚麼事上判斷別人，你就在甚麼事上定自己的罪；又因為你自己這個持續判斷人的，你正在不斷做同樣的事。
Romans,2,2,然而，我們慣常準知道，   神的判決正是必真實地臨到作這眾樣事的人。
Romans,2,3,噢！人啊！你這個評斷行這眾樣事而自己卻又作眾同樣事的人啊！而你一直以為你自己將來能逃脫   神定罪的判決麼（辭令式問句）？
Romans,2,4,還是你正在忽視祂恩慈和寬容與恒忍的豐富，持續不知道    神的恩慈為的就是祂總是帶領你悔改嗎？
Romans,2,5,但由於（文理在此較可能的意思）你這剛硬不悔改的心，為你自己持續積蓄憤怒，就是在   神憤怒及公義審判彰顯的日子。
Romans,2,6,因為   神將來必會按照每一個人那些眾行為報應他：
Romans,2,7,對那些按行善的堅忍，持續尋求榮耀和尊貴與不朽的，   神必賞予永生；
Romans,2,8,但對於那些出於自私，又不順從真理；反而順從不義的人呢、憤怒和震怒（強烈的感情）必臨到他們；
Romans,2,9,患難和困迫必臨到每一個作惡者的生命，先是猶太人，後是希臘人，
Romans,2,10,卻有榮耀與尊貴和平安賜予每一個行善的（分詞作人稱名詞用）人，先是猶太人，後是希臘人。
Romans,2,11,因為在   神那裡並沒有「以貌取人」（即「上主是審判者，決不看情面」，參弗6:9）這回事。
Romans,2,12,因為眾舉凡在律法之外犯了罪的，他們本身也將必會在律法之外滅亡；而凡在律法之內犯了罪的，他們將必會藉著律法受審判。
Romans,2,13,因為在   神面前，不是那些律法的聽眾為義；反而是那些律法的踐行者將來必會被稱為義。
Romans,2,14,事實上，那些沒有律法的眾外族人，每當順著本性能行符合律法要求的事，當中有些人雖然是沒有律法的人；但對自己就正是法律。
Romans,2,15,他們自己持續顯出律法所要求的行為，已被寫在他們眾心裡，他們的良心正在一同作見證，並且他們那些眾思想彼此在交往中，或正在控告，甚至正在為自己辯護。
Romans,2,16,就在那日，當   神藉著基督耶穌將審判眾人那些隱秘潛藏的事情（參傳12:14）的時候，就是按照我傳的福音所言的。
Romans,2,17,如今，你既然持續自稱為猶太人，又一直依仗律法，且慣常以 神來自誇，
Romans,2,18,而且你持續知道祂的旨意，你又從律法領受珍寶的資源（原文較豐富的含義），以致你一直認可和選擇那些真正要緊的事，
Romans,2,19,你且已深信你自己會是瞎子們的嚮導，那些黑暗中的亮光，
Romans,2,20,愚昧受眾的導師，小孩子們的教師，藉律法持續擁有知識和真理的明確準則。
Romans,2,21,那麼（含諷刺意味），你這教導別人的啊！你卻仍不教導你自己（原文反身代名詞）嗎？你這宣講不可偷竊的啊！你卻還在偷竊嗎？
Romans,2,22,你這說不可姦淫的啊！你卻仍犯姦淫嗎？你這厭惡那些眾偶像的啊！你卻還搶劫廟宇嗎？
Romans,2,23,你一直以律法自我誇耀，你卻藉著對律法的違逆持續羞辱   神嗎？
Romans,2,24,因為如已被寫下的：『    神的名，因你們在那些列邦中不斷被褻瀆。（賽52:5）』
Romans,2,25,因為假若你要遵行律法，割禮對於你是持續有益的；但如果你若是律法的違犯者，你這受過割禮的就已變為沒受割禮的了。
Romans,2,26,所以，那沒有割禮的若能遵行律法的要求，他那沒有割禮豈不將被算為達致受過割禮嗎？
Romans,2,27,而且那生來沒有割禮的卻持續遵守律法，他將來必會審判你這藉著法典及割禮的律法違犯者。
Romans,2,28,因為作猶太人的（主格形容詞應放在句首）正不是那外表上能看得見的，割禮甚至也不在於那在肉身上可以見到的。
Romans,2,29,反而，作猶太人是在於那看不見的；而且心的割禮是靠著聖靈而不是靠賴儀文，這人所受的稱讚，不是從人來的；反而是從    神來的（v.25-29割禮與猶太人的身份有密切關係）。
Romans,3,1,這樣說來，猶太人有甚麼優勢（籠統問題）？或者割禮有甚麼用處呢（確切問題）（#呼應v.9）？
Romans,3,2,在每一方面都很多。首先（隨後並無「第二、第三」等詞，因保羅原意可能是要縷述下去的 (參9:4-5)，但因思路改變而沒有完成列舉），因為   神的聖言被託付了他們。
Romans,3,3,因為即使有些人背了信會怎麼樣呢？難道他們的不忠信將來會使   神的信實失效嗎？
Romans,3,4,絕對不會！反而我們要宣認   神絕對是真實的，而所有人都是虛謊者，正如已被寫下的：『以致於讓你在你那些眾判語中能被顯為公正，而且將來當你施行審判之時必會得勝。（詩51:4）』
Romans,3,5,然而，若我們的不義持續彰顯   神的義，我們將會怎麼說呢？難道那降怒的   神是不義嗎？(我正按人的想法說。)
Romans,3,6,絕對不是！若不然（原文連接詞），      神將來會如何審判這世界呢？（v.5-6保羅的話）
Romans,3,7,但是，   神的真實若因我的虛謊越發彰顯出來，為要進入祂的榮耀，為甚麼我事實上還要以罪人的身份（原文形容詞較自然的意思）受審判呢？
Romans,3,8,又正如有些人正在向我們說：「讓我們去作成那些惡，以致讓那些善得以作成嗎？」（v.7-8c反對者的詰問）——（且不就正如我們不住被譭謗時所正在說的！）  神對他們的定罪正是合理而公正的。
Romans,3,9,那怎麼樣呢？我們自己總比他們強嗎（#呼應v.1）？不！完全不是（有希臘作者和蒲草紙文獻為證）！因為我們早就提出了指控：不管猶太人還是希臘人，所有人都是在罪的權勢之下。
Romans,3,10,如已被寫下的：『沒有義人，連一個也沒有，
Romans,3,11,沒有明智的，
Romans,3,12,"所有人都背離了，他們一同被變為無用了！沒有那向人顯出恩慈的（參CJB,ISV,NRSV等英譯本），正是連一個也達不到（詩14:1-3；53:1-3）！"
Romans,3,13,他們的喉嚨是已被打開的墳墓；他們的話語曾習慣欺騙人，（詩5:9下）毒蛇的毒汁在他們嘴唇下！（詩140:3下）
Romans,3,14,他們的嘴巴時常充滿咒言與毒語，（詩10:7）
Romans,3,15,他們那些腳跟急速的去傾流人血，
Romans,3,16,毀滅與慘禍，在他們那些眾路徑上。
Romans,3,17,和睦（文理非指「和平」）的道路，他們也未曾認識；（賽59:7-8）
Romans,3,18,對   神的畏懼（文理主格的意思），在他們那些眾眼睛前正是沒有的。（詩36:1）』
Romans,3,19,如今，我們正知道，凡律法正說的，都是向那些在律法以內說的，好使每張嘴巴都被堵住了，而且讓世界每一個人為自己所作的都要向   神承擔罪責，
Romans,3,20,因為沒有一個肉身，在祂面前，是從律法的行為，在將來會被稱為義，因為人對罪的認識是藉著律法的。
Romans,3,21,但如今（#呼應v.26），   神的義在律法以外已經被顯明出來，被律法和那些先知們一直所見證，
Romans,3,22,就是    神的義，藉著對耶穌基督的信心，臨到所有持續相信的人。事實上，並沒有分別。
Romans,3,23,"因為所有人都犯了罪，以致他們持續缺少（現在式，參較新英文譯本作 ‘fall short of ’（NKJV,NRSV,NIV,ASV等等））  神的榮耀。"
Romans,3,24,他們已被稱為義是祂白白的恩典，就是藉著那個在基督耶穌裡的救贖。
Romans,3,25,神自己立定了以耶穌為補贖之法，憑著祂的血，藉著人的信，為要作祂救人之義的明證，因著是對人事前已犯過那些眾罪之寬容，
Romans,3,26,這在   神的恆忍中，為要在現今（#呼應v.21）作祂救人之義的明證，要使祂自己為義，即使在提供稱信耶穌的人為義時，祂自己仍是公義的。
Romans,3,27,那麼，有甚麼（副詞，文理較準確的意思）可誇之處呢？絕對沒有！藉著甚麼原則呢？行為嗎？不是；反而是藉著信心的原則。
Romans,3,28,因為我們持續認定，人能被稱義是因著信，與律法眾行為無關。
Romans,3,29,難道   神只是猶太人的   神嗎？不也是外族人的   神嗎？是的，也是外族人的   神。
Romans,3,30,因為   神只有一位，因信，祂將來必會稱受割禮的為義，也藉著信，祂將來必會稱沒受割禮的為義。
Romans,3,31,這樣說來，我們藉著信正在廢掉律法嗎？絕對不是！反而是我們正在鞏固律法。
Romans,4,1,那麼，有關按肉身作我們先祖的亞伯拉罕已能找到之事，我們將會說甚麼呢？
Romans,4,2,因為亞伯拉罕若因行為被稱為義，他就總有可誇之處；但是在　神面前他卻沒有。
Romans,4,3,因為那經文正在說甚麼呢？『亞伯拉罕相信了　神，他然後就被算為進入義了。（創15:6）』
Romans,4,4,如今，工資給那作工的人，他不被持續算為按照恩典；反而是依據債項（主人給工人作工報酬的原則）。
Romans,4,5,然而，那不作工的人，他卻一直相信這位稱不敬虔者為義的，他的信心就持續被算為進入義了。
Romans,4,6,正如大衛也正在說：那個有福的人，就是在行為以外蒙   神持續算為義的。
Romans,4,7,『有福的就是那些他們的過犯蒙了赦免，以及那些他們的罪惡被遮蓋了的人。
Romans,4,8,有福的人是主可以不算他出來為有罪者。」（詩32:1-2）』
Romans,4,9,這樣看來，這福份只是達於那受割禮的人，還是也進到那未受割禮的人呢？因為我們一直說：「這信心讓亞伯拉罕被算了為達致義。」
Romans,4,10,那麼，是在甚麼情況下已被算的呢？是在他是受割禮的狀況下呢？還是在未受割禮的狀況下呢？不是當他在受割禮的情況下（#這介系詞的意譯是原文文理較準確的意思）；反而是當他在未受割禮的情況下（#同上）。
Romans,4,11,並且他領受了割禮為標記，為他那未受割禮的情況下（#同上）而信的義之印證；使他成為所有未受割禮的情況下（#同上）而信的人之父，好讓他們也被算為義；
Romans,4,12,又作受割禮之人的父，就是那些不單受割禮；反而甚至也作持續跟隨我們祖宗亞伯拉罕，在未受割禮時就相信的那些眾腳蹤者的父。
Romans,4,13,因為這承受世界的應許，臨到亞伯拉罕或他那後裔（指基督），並不是藉著律法；反而是藉著因信而來的義。
